,index,original_title,genres,keywords,cast,crew,spoken_languages,vote_average,vote_count,soup,movie_id,image_url,yor,overview
0,0,Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['cultureclash', 'futur', 'spacewar', 'spacecoloni', 'societi', 'spacetravel', 'futurist', 'romanc', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marin', 'soldier', 'battl', 'loveaffair', 'antiwar', 'powerrel', 'mindandsoul', '3d']","['samworthington', 'zoesaldana', 'sigourneyweaver', 'stephenlang', 'michellerodriguez']","['jamescameron', 'jamescameron', 'jamescameron']","['English', 'Español']",7.2,11800,cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweaver stephenlang michellerodriguez jamescameron jamescameron jamescameron Action Adventure Fantasy Science Fiction,19995,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,2009,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.. Enter the World of Pandora."
1,1,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']","['ocean', 'drugabus', 'exoticisland', 'eastindiatradingcompani', ""loveofone'slif"", 'traitor', 'shipwreck', 'strongwoman', 'ship', 'allianc', 'calypso', 'afterlif', 'fighter', 'pirat', 'swashbuckl', 'aftercreditssting']","['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'chowyun-fat']","['goreverbinski', 'goreverbinski', 'goreverbinski']",['English'],6.9,4500,ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat goreverbinski goreverbinski goreverbinski Adventure Fantasy Action,285,/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,2007,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.. At the end of the world, the adventure begins."
2,2,Spectre,"['Action', 'Adventure', 'Crime']","['spi', 'basedonnovel', 'secretag', 'sequel', 'mi6', 'britishsecretservic', 'unitedkingdom']","['danielcraig', 'christophwaltz', 'léaseydoux', 'ralphfiennes', 'monicabellucci']","['sammendes', 'sammendes', 'sammendes']","['Français', 'English']",6.3,4466,spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom danielcraig christophwaltz léaseydoux ralphfiennes monicabellucci sammendes sammendes sammendes Action Adventure Crime,206647,/672kUEMtTHcaVYSVY4eiHEliHFa.jpg,2015,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.. A Plan No One Escapes"
3,3,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","['dccomic', 'crimefight', 'terrorist', 'secretident', 'burglar', 'hostagedrama', 'timebomb', 'gothamc', 'vigilant', 'cover-up', 'superhero', 'villai', 'tragichero', 'terror', 'destruct', 'catwoman', 'imax', 'flood', 'criminalunderworld', 'batman']","['christianbale', 'michaelcaine', 'garyoldman', 'annehathaway', 'tomhardy']","['christophernolan', 'christophernolan', 'christophernolan']",['English'],7.6,9106,dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman imax flood criminalunderworld batman christianbale michaelcaine garyoldman annehathaway tomhardy christophernolan christophernolan christophernolan Action Crime Drama Thriller,49026,/85cWkCVftiVs0BVey6pxX8uNmLt.jpg,2012,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.. The Legend Ends"
4,4,John Carter,"['Action', 'Adventure', 'Science Fiction']","['basedonnovel', 'mar', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escap', 'alienrac', 'superhumanstrength', 'swordandplanet', '19thcenturi', '3d']","['taylorkitsch', 'lynncollins', 'samanthamorton', 'willemdafoe', 'thomashadenchurch']","['andrewstanton', 'andrewstanton', 'andrewstanton']",['English'],6.1,2124,basedonnovel mar medallion spacetravel princess alien steampunk martian escap alienrac superhumanstrength swordandplanet 19thcenturi 3d taylorkitsch lynncollins samanthamorton willemdafoe thomashadenchurch andrewstanton andrewstanton andrewstanton Action Adventure Science Fiction,49529,/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg,2012,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.. Lost in our world, found in another."
5,5,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']","['dualident', 'amnesia', 'sandstorm', ""loveofone'slif"", 'forgiv', 'spider', 'wretch', 'deathofafriend', 'hostil', 'marvelcom', 'sequel', 'superhero', 'reveng']","['tobeymaguire', 'kirstendunst', 'jamesfranco', 'thomashadenchurch', 'tophergrace']","['samraimi', 'samraimi', 'samraimi']","['English', 'Français']",5.9,3576,dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend hostil marvelcom sequel superhero reveng tobeymaguire kirstendunst jamesfranco thomashadenchurch tophergrace samraimi samraimi samraimi Fantasy Action Adventure,559,/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,2007,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.. The battle within."
6,6,Tangled,"['Animation', 'Family']","['hostag', 'magic', 'hors', 'fairytal', 'music', 'princess', 'anim', 'tower', 'selfish', 'basedonfairytal', 'duringcreditssting', 'animalsidekick']","['zacharylevi', 'mandymoore', 'donnamurphy', 'ronperlman', 'm.c.gainey']","['byronhoward', 'byronhoward', 'byronhoward']",['English'],7.4,3330,hostag magic hors fairytal music princess anim tower selfish basedonfairytal duringcreditssting animalsidekick zacharylevi mandymoore donnamurphy ronperlman m.c.gainey byronhoward byronhoward byronhoward Animation Family,38757,/ym7Kst6a4uodryxqbGOxmewF235.jpg,2010,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.. They're taking adventure to new lengths."
7,7,Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']","['marvelcom', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditssting', 'marvelcinematicunivers', '3d']","['robertdowneyjr.', 'chrishemsworth', 'markruffalo', 'chrisevans', 'scarlettjohansson']","['josswhedon', 'josswhedon', 'josswhedon']",['English'],7.3,6767,marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson josswhedon josswhedon josswhedon Action Adventure Science Fiction,99861,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,2015,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.. A New Age Has Come."
8,8,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardri', 'teenagecrush', 'werewolf']","['danielradcliffe', 'rupertgrint', 'emmawatson', 'tomfelton', 'michaelgambon']","['davidyates', 'davidyates', 'davidyates']",['English'],7.4,5293,witch magic broom schoolofwitchcraft wizardri teenagecrush werewolf danielradcliffe rupertgrint emmawatson tomfelton michaelgambon davidyates davidyates davidyates Adventure Fantasy Family,767,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,2009,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.. Dark Secrets Revealed"
9,9,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']","['dccomic', 'vigilant', 'superhero', 'basedoncomicbook', 'reveng', 'superpow', 'dcextendedunivers']","['benaffleck', 'henrycavill', 'galgadot', 'amyadams', 'jesseeisenberg']","['zacksnyder', 'zacksnyder', 'zacksnyder']",['English'],5.7,7004,dccomic vigilant superhero basedoncomicbook reveng superpow dcextendedunivers benaffleck henrycavill galgadot amyadams jesseeisenberg zacksnyder zacksnyder zacksnyder Action Adventure Fantasy,209112,/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,2016,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.. Justice or revenge"
10,10,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']","['kill', 'undercov', 'secretag', 'britishsecretservic']","['danielcraig', 'olgakurylenko', 'mathieuamalric', 'judidench', 'giancarlogiannini']","['marcforster', 'marcforster', 'marcforster']","['English', 'Español']",6.1,2965,kill undercov secretag britishsecretservic danielcraig olgakurylenko mathieuamalric judidench giancarlogiannini marcforster marcforster marcforster Adventure Action Thriller Crime,10764,/e3DXXLJHGqMx9yYpXsql1XNljmM.jpg,2008,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.. For love, for hate, for justice, for revenge."
11,11,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortunetel', 'bondag', 'exoticisland', 'monster', 'captain', 'cardgam', 'eastindiatradingcompani', 'compass', 'ship', 'daughter', 'pirat', 'swashbuckl', 'aftercreditssting']","['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'billnighy']","['goreverbinski', 'goreverbinski', 'goreverbinski']","['English', 'Türkçe']",7.0,5246,witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley stellanskarsgård billnighy goreverbinski goreverbinski goreverbinski Adventure Fantasy Action,58,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,2006,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.. Jack is back!"
12,12,The Lone Ranger,"['Action', 'Adventure', 'Western']","['texa', 'hors', 'survivor', 'texasrang', 'partner', 'outlaw', 'escap', 'lawyer', 'train', 'lonerang', 'thelonerang']","['johnnydepp', 'armiehammer', 'williamfichtner', 'helenabonhamcarter', 'jamesbadgedale']","['goreverbinski', 'goreverbinski', 'goreverbinski']",['English'],5.9,2311,texa hors survivor texasrang partner outlaw escap lawyer train lonerang thelonerang johnnydepp armiehammer williamfichtner helenabonhamcarter jamesbadgedale goreverbinski goreverbinski goreverbinski Action Adventure Western,57201,/p3OvQFa5lhbwSAhPygwnlugie1d.jpg,2013,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.. Never Take Off the Mask"
13,13,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['savingtheworld', 'dccomic', 'superhero', 'basedoncomicbook', 'superhuman', 'alieninvas', 'reboot', 'superpow', 'dcextendedunivers']","['henrycavill', 'amyadams', 'michaelshannon', 'kevincostner', 'dianelane']","['zacksnyder', 'zacksnyder', 'zacksnyder']",['English'],6.5,6359,savingtheworld dccomic superhero basedoncomicbook superhuman alieninvas reboot superpow dcextendedunivers henrycavill amyadams michaelshannon kevincostner dianelane zacksnyder zacksnyder zacksnyder Action Adventure Fantasy Science Fiction,49521,/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg,2013,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.. You will believe that a man can fly."
14,14,The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']","['basedonnovel', 'fictionalplac', 'brothersisterrelationship', 'lion', 'humanb', 'wretch', 'leapintim', 'matteroflifeanddeath', 'faith', 'uncl', 'narnia', 'fantasyworld']","['benbarnes', 'williammoseley', 'annapopplewell', 'skandarkeynes', 'georgiehenley']","['andrewadamson', 'andrewadamson', 'andrewadamson']",['English'],6.3,1630,basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld benbarnes williammoseley annapopplewell skandarkeynes georgiehenley andrewadamson andrewadamson andrewadamson Adventure Family Fantasy,2454,/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,2008,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.. Hope has a new face."
15,15,The Avengers,"['Science Fiction', 'Action', 'Adventure']","['newyork', 'shield', 'marvelcom', 'superhero', 'basedoncomicbook', 'alieninvas', 'superheroteam', 'aftercreditssting', 'duringcreditssting', 'marvelcinematicunivers']","['robertdowneyjr.', 'chrisevans', 'markruffalo', 'chrishemsworth', 'scarlettjohansson']","['josswhedon', 'josswhedon', 'josswhedon']",['English'],7.4,11776,newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson josswhedon josswhedon josswhedon Science Fiction Action Adventure,24428,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,2012,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!. Some assembly required."
16,16,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']","['sea', 'captain', 'mutini', 'sword', 'primeminist', 'sail', 'silver', 'ship', 'duke', 'mermaid', 'pirat', 'soldier', 'battl', 'swashbuckl', 'aftercreditssting', '3d']","['johnnydepp', 'penélopecruz', 'ianmcshane', 'kevinmcnally', 'geoffreyrush']","['robmarshall', 'robmarshall', 'robmarshall']","['English', 'Español']",6.4,4948,sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d johnnydepp penélopecruz ianmcshane kevinmcnally geoffreyrush robmarshall robmarshall robmarshall Adventure Action Fantasy,1865,/keGfSvCmYj7CvdRx36OdVrAEibE.jpg,2011,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.. Live Forever Or Die Trying."
17,17,Men in Black 3,"['Action', 'Comedy', 'Science Fiction']","['timetravel', 'timemachin', 'alien', 'fictionalgovernmentag', 'seeingthefutur']","['willsmith', 'tommyleejones', 'joshbrolin', 'michaelstuhlbarg', 'emmathompson']","['barrysonnenfeld', 'barrysonnenfeld', 'barrysonnenfeld']",['English'],6.2,4160,timetravel timemachin alien fictionalgovernmentag seeingthefutur willsmith tommyleejones joshbrolin michaelstuhlbarg emmathompson barrysonnenfeld barrysonnenfeld barrysonnenfeld Action Comedy Science Fiction,41154,/90DdoEStzeObs96fsYf4GG544iN.jpg,2012,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.. They are back... in time."
18,18,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']","['corrupt', 'elv', 'dwarv', 'orc', 'middle-earth(tolkien)', 'hobbit', 'dragon', 'battl', 'unlikelyfriendship', 'epicbattl', 'swordandsorceri']","['martinfreeman', 'ianmckellen', 'richardarmitage', 'kenstott', 'grahammctavish']","['peterjackson', 'peterjackson', 'peterjackson']",['English'],7.1,4760,corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri martinfreeman ianmckellen richardarmitage kenstott grahammctavish peterjackson peterjackson peterjackson Action Adventure Fantasy,122917,/xT98tLqatZPQApyRmlPL12LtiWp.jpg,2014,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.. Witness the defining chapter of the Middle-Earth saga"
19,19,The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']","['lossoffath', 'vigilant', 'serum', 'marvelcom', 'spiderbit', 'maskedvigilant', 'reboot', 'superpow', 'geneticengin', 'socialoutcast', 'duringcreditssting']","['andrewgarfield', 'emmastone', 'rhysifans', 'denisleary', 'campbellscott']","['marcwebb', 'marcwebb', 'marcwebb']",['English'],6.5,6586,lossoffath vigilant serum marvelcom spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting andrewgarfield emmastone rhysifans denisleary campbellscott marcwebb marcwebb marcwebb Action Adventure Fantasy,1930,/jIfkQNARYyERqRAq1p1c8xgePp4.jpg,2012,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.. The untold story begins."
20,20,Robin Hood,"['Action', 'Adventure']","['robinhood', 'archer', 'knight', 'bowandarrow', 'middleag', 'mediev', 'kingofengland']","['russellcrowe', 'cateblanchett', 'maxvonsydow', 'williamhurt', 'markstrong']","['ridleyscott', 'ridleyscott', 'ridleyscott']","['English', 'ภาษาไทย']",6.2,1398,robinhood archer knight bowandarrow middleag mediev kingofengland russellcrowe cateblanchett maxvonsydow williamhurt markstrong ridleyscott ridleyscott ridleyscott Action Adventure,20662,/9NS5QGOfck24yL3bZqWeW06PgPC.jpg,2010,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.. Rise and rise again, until lambs become lions."
21,21,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']","['elv', 'dwarv', 'orc', 'hobbit', 'dragon', 'wizard', 'swordandsorceri']","['martinfreeman', 'ianmckellen', 'richardarmitage', 'kenstott', 'grahammctavish']","['peterjackson', 'peterjackson', 'peterjackson']",['English'],7.6,4524,elv dwarv orc hobbit dragon wizard swordandsorceri martinfreeman ianmckellen richardarmitage kenstott grahammctavish peterjackson peterjackson peterjackson Adventure Fantasy,57158,/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,2013,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.. Beyond darkness... beyond desolation... lies the greatest danger of all."
